id;tracking_code;date;details;invoice_id
1;Mouse Villages;2023-05-17T02:24:48;unleash integrate;1
2;Gloves Account Belarussian;2023-05-17T12:25:09;Orchestrator Stravenue;2
3;Gorgeous Checking;2023-05-16T17:43:41;SSL zero;3
4;user-facing turquoise;2023-05-17T07:33:49;Iran Garden auxiliary;4
5;experiences multi-tasking Tasty;2023-05-16T19:01:42;Viaduct Bedfordshire;5
6;Shoes Avon;2023-05-17T14:23:15;Lilangeni;6
7;Music Handmade;2023-05-17T00:00:53;Estate red;7
8;Officer mobile Specialist;2023-05-17T09:50:56;system;8
9;bypass;2023-05-17T15:23:14;Streamlined;9
10;invoice Quality-focused hack;2023-05-16T19:44:03;wireless Borders;10
